Lux-p,Lux-p0,Degree-p,Degree-p0,Lux-s,Lux-s0,Degree-s,Degree-s0,Zero-Lux-p,Zero-Deg-p,Zero-Lux-s,Zero-Deg-s
486.8,484.6,110,6,485.6,483.9,104,6,2.2,104,1.7,110
486.8,484.6,116,12,485.5,483.8,98,12,2.2,104,1.7,110
486.8,484.6,122,18,485.5,483.8,92,18,2.2,104,1.7,110
487,484.8,128,24,485.6,483.9,86,24,2.2,104,1.7,110
486.9,484.7,134,30,485.5,483.8,80,30,2.2,104,1.7,110
486,483.8,100,4,485.6,483.9,74,36,2.2,104,1.7,110
486.2,484,94,10,485.8,484.1,68,42,2.2,104,1.7,110
486.2,484,88,16,486,484.3,62,48,2.2,104,1.7,110
486,483.8,82,22,486,484.3,56,54,2.2,104,1.7,110
486,483.8,76,28,486,484.3,50,60,2.2,104,1.7,110
486.1,483.9,70,34,486,484.3,48,62,2.2,104,1.7,110
318,315.8,64,40,,,,,2.2,104,,
225,222.8,58,46,,,,,2.2,104,,
91,88.8,52,52,,,,,2.2,104,,
52.4,50.2,50,54,,,,,2.2,104,,
